Job Title,Role,Qualifications,Experience,location,Country,Work Type,Job Description,Salary Range,Benefits
Investment Banker,Investment Portfolio Manager,B.Com,3 to 12 Years,Sofia,Bulgaria,Contract,"An Investment Portfolio Manager manages investment portfolios, making investment decisions, monitoring performance, and optimizing asset allocation for clients or the organization.",$62K-$120K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Technical Writer,Instructional Designer,M.Com,5 to 13 Years,Lisbon,Portugal,Temporary,Instructional Designers develop educational materials and curricula. They design engaging and effective learning experiences for students or employees.,$56K-$85K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
Software Tester,Quality Assurance Analyst,MCA,5 to 13 Years,Nouakchott,Mauritania,Contract,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.",$56K-$128K,"{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}"
Network Administrator,Systems Administrator,PhD,5 to 9 Years,Montevideo,Uruguay,Intern,"Manage and maintain an organizations IT infrastructure, including servers, hardware, and software systems.",$57K-$102K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
Supply Chain Analyst,Logistics Analyst,BBA,5 to 12 Years,Ulaanbaatar,Mongolia,Contract,"A Logistics Analyst analyzes and optimizes logistics and supply chain operations, identifying cost-saving opportunities, improving transportation efficiency, and enhancing supply chain performance.",$60K-$83K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Environmental Consultant,Sustainability Consultant,BCA,2 to 14 Years,Jerusalem,Israel,Contract,"Sustainability Consultants advise organizations on sustainable practices and strategies. They assess environmental impact, recommend sustainability initiatives, and assist in the development and implementation of sustainable policies.",$62K-$130K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Customer Support Specialist,Customer Success Manager,M.Com,4 to 15 Years,Apia,American Samoa,Part-Time,"Customer Success Managers focus on ensuring customer satisfaction and retention. They build relationships with clients, understand their needs, and work to maximize the value customers receive from products or services, ultimately driving customer success and loyalty.",$61K-$127K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
Network Security Specialist,Cybersecurity Analyst,MCA,2 to 10 Years,Gitega,Burundi,Contract,"Cybersecurity Analysts protect computer systems and networks from cyber threats. They monitor security systems, investigate breaches, and implement security measures to safeguard data.",$58K-$124K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Software Engineer,Frontend Developer,PhD,2 to 11 Years,Amsterdam,Netherlands,Full-Time,"A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.",$61K-$105K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
Physical Therapist,Pediatric Physical Therapist,MBA,3 to 11 Years,Apia,Samoa,Intern,"Specialize in providing physical therapy to children, addressing developmental and mobility issues.",$59K-$101K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Civil Engineer,Water Resources Engineer,B.Tech,2 to 14 Years,Vilnius,Lithuania,Full-Time,"A Water Resources Engineer manages and develops water-related projects, such as dams, irrigation systems, and flood control measures, to ensure water resource sustainability.",$65K-$82K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Software Engineer,Backend Developer,MBA,1 to 9 Years,Stockholm,Sweden,Contract,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",$63K-$115K,"{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}"
UX/UI Designer,Interaction Designer,BA,4 to 11 Years,Dushanbe,Tajikistan,Contract,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,$61K-$103K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Operations Manager,Operations Director,B.Tech,5 to 15 Years,Mexico City,Mexico,Part-Time,"Operations Directors oversee the daily operations of an organization. They develop and implement operational strategies, manage teams, and work to optimize processes to achieve business goals and efficiency.",$56K-$109K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
Procurement Specialist,Sourcing Analyst,B.Com,3 to 10 Years,"Malabo (de jure),",Equatorial Guinea,Part-Time,"Sourcing Analysts research and analyze potential suppliers, evaluate procurement strategies, and negotiate contracts to secure cost-effective and quality supplies.",$57K-$101K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Legal Assistant,Legal Secretary,M.Com,5 to 14 Years,Yamoussoukro,Cote d'Ivoire,Contract,"Provide administrative support to legal professionals, manage schedules, draft documents, and handle correspondence.",$55K-$91K,"{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}"
Customer Success Manager,Onboarding Specialist,MCA,1 to 8 Years,San Jose,Costa Rica,Contract,"An Onboarding Specialist helps new employees integrate into the company. They facilitate orientation, training, and ensure a smooth transition into their roles.",$56K-$130K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
QA Analyst,Performance Testing Specialist,MBA,0 to 11 Years,Moroni,Comoros,Full-Time,"Performance Testing Specialists assess the performance of software applications by conducting load, stress, and scalability tests. They identify bottlenecks, optimize performance, and ensure software can handle user demands effectively.",$64K-$97K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
Accountant,Forensic Accountant,B.Tech,4 to 10 Years,Kathmandu,Nepal,Full-Time,"Forensic Accountants investigate financial discrepancies and fraud. They analyze financial documents, track financial transactions, and provide expert testimony in legal proceedings. They play a critical role in detecting and preventing financial fraud.",$56K-$88K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
Software Developer,Mobile App Developer,PhD,3 to 14 Years,Bangkok,Thailand,Full-Time,Mobile App Developers design and develop mobile applications for various platforms. They collaborate with cross-functional teams to create user-friendly and functional mobile apps that meet user needs.,$62K-$82K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Procurement Specialist,Procurement Manager,BA,5 to 11 Years,Cairo,Egypt,Temporary,"Procurement Managers oversee procurement processes, managing vendor relationships, negotiating contracts, and ensuring cost-effective purchasing of goods and services.",$57K-$87K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Data Entry Clerk,Record Keeper,B.Tech,1 to 12 Years,Lilongwe,Malawi,Intern,"A Record Keeper is responsible for maintaining accurate records and databases, ensuring data integrity, and assisting in data retrieval when needed.",$55K-$85K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Human Resources Manager,Talent Acquisition Manager,PhD,4 to 11 Years,Honiara,Solomon Islands,Full-Time,"Talent Acquisition Managers oversee the recruitment and hiring process. They develop recruitment strategies, source candidates, conduct interviews, and collaborate with hiring managers to attract and hire qualified talent to meet the organizations staffing needs.",$60K-$117K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Data Engineer,Big Data Engineer,MBA,1 to 9 Years,Kathmandu,Nepal,Intern,"A Big Data Engineer develops and manages big data solutions, including data storage, processing, and analysis platforms, to extract valuable insights and support data-driven decisions.",$58K-$80K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
Paralegal,Real Estate Paralegal,BBA,1 to 8 Years,Rabat,Morocco,Full-Time,"Assist in real estate transactions, including title searches, closings, and contract preparation.",$57K-$122K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Urban Planner,Environmental Planner,M.Tech,2 to 12 Years,Belmopan,Belize,Full-Time,Environmental Planners assess and mitigate the impact of projects on the environment. They ensure compliance with environmental regulations and promote sustainable practices.,$64K-$96K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Quality Assurance Analyst,Test Automation Engineer,BBA,2 to 9 Years,Castries,St. Lucia,Temporary,"Test Automation Engineers automate testing processes using scripts and tools. They design and maintain automated test suites to streamline testing efforts, improve efficiency, and enhance software quality.",$63K-$99K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Investment Banker,Financial Analyst,MBA,4 to 10 Years,Ouagadougou,Burkina Faso,Contract,"A Financial Analyst conducts financial analysis, generates reports, and provides insights to support decision-making, budgeting, and financial planning.",$60K-$128K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
Database Administrator,Database Security Specialist,BBA,4 to 14 Years,Monrovia,Liberia,Temporary,A Database Security Specialist focuses on protecting databases from unauthorized access and data breaches. They implement security measures and ensure compliance with regulations.,$65K-$102K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
Marketing Analyst,Digital Marketing Analyst,M.Com,2 to 12 Years,Macao,"Macao SAR, China",Contract,"Analyze digital marketing campaigns, track performance metrics, and optimize online marketing strategies.",$65K-$99K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
UI Developer,Front-End Developer,B.Com,0 to 11 Years,San Juan,Puerto Rico,Intern,A Front-End Developer specializes in creating the user interface and user experience of websites or applications. They code and design elements that users interact with directly.,$65K-$97K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
IT Manager,IT Director,B.Tech,1 to 15 Years,Buenos Aires,Argentina,Full-Time,"An IT Director oversees an organizations IT department and technology infrastructure. They develop IT strategies, manage budgets, and ensure IT systems support business objectives.",$56K-$87K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Pharmaceutical Sales Representative,Territory Sales Manager,BCA,2 to 8 Years,Chisinau,Moldova,Full-Time,"Territory Sales Managers oversee a specific sales territory, managing sales teams, setting goals, and developing strategies to meet sales objectives.",$65K-$101K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Data Analyst,Business Intelligence Analyst,PhD,0 to 10 Years,Pretoria,South Africa,Intern,"Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data.",$65K-$108K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Project Manager,IT Project Manager,B.Com,1 to 14 Years,London,UK,Full-Time,"IT Project Managers plan, execute, and oversee IT projects. They define project scope, allocate resources, manage budgets, and ensure projects are delivered on time and within scope. They also communicate project status and risks to stakeholders.",$60K-$83K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Network Engineer,Network Administrator,BA,0 to 15 Years,Athens,Greece,Contract,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.",$58K-$123K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Network Security Specialist,Cybersecurity Analyst,BA,4 to 11 Years,Harare,Zimbabwe,Intern,"Cybersecurity Analysts protect computer systems and networks from cyber threats. They monitor security systems, investigate breaches, and implement security measures to safeguard data.",$56K-$104K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Customer Support Specialist,Technical Support Specialist,BCA,3 to 9 Years,Valletta,Malta,Full-Time,"Technical Support Specialists assist customers or end-users with technical issues related to products or services. They provide troubleshooting, resolve problems, and offer technical guidance through various communication channels, ensuring customer satisfaction.",$58K-$107K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Dental Hygienist,Dental Public Health Hygienist,B.Tech,2 to 15 Years,Phnom Penh,Cambodia,Part-Time,A Dental Public Health Hygienist works to improve oral health at the community level. They develop and implement public health programs and educate individuals on oral hygiene.,$57K-$82K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Family Nurse Practitioner,Geriatric Nurse Practitioner,M.Tech,0 to 12 Years,Victoria,Seychelles,Full-Time,Geriatric Nurse Practitioners focus on the healthcare needs of elderly patients. They provide specialized care and address age-related health concerns.,$61K-$86K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Digital Marketing Specialist,Social Media Manager,M.Com,4 to 12 Years,Maseru,Lesotho,Contract,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.",$56K-$130K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Architect,Project Architect,BA,4 to 14 Years,Gaborone,Botswana,Temporary,"Project Architects lead architectural projects, from concept to completion, coordinating design teams, managing budgets, and ensuring compliance with regulations.",$63K-$80K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Procurement Manager,Strategic Sourcing Manager,MCA,2 to 12 Years,Muscat,Oman,Intern,"Develop and execute sourcing strategies to procure goods and services, negotiate contracts, and manage supplier relationships.",$58K-$94K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
SEM Specialist,Paid Advertising Specialist,PhD,0 to 13 Years,Maputo,Mozambique,Temporary,Paid Advertising Specialists manage paid advertising campaigns. They use platforms like Google Ads and social media advertising to reach target audiences and achieve marketing goals.,$63K-$111K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Data Analyst,Business Intelligence Analyst,BCA,5 to 15 Years,Honiara,Solomon Islands,Part-Time,"Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data.",$63K-$83K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Data Analyst,Data Scientist,BBA,5 to 10 Years,Havana,Cuba,Full-Time,"Data Scientists use their expertise in data analysis and machine learning to extract valuable insights and predictions from data. They build and train models, conduct statistical analysis, and communicate findings to drive data-driven decision-making in the organization.",$59K-$117K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Supply Chain Manager,Demand Planner,MBA,3 to 10 Years,Gitega,Burundi,Contract,A Demand Planner analyzes historical sales data to forecast future demand for products. They work to optimize inventory levels and ensure product availability while minimizing costs.,$61K-$124K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
Structural Engineer,Bridge Engineer,B.Tech,0 to 8 Years,Sanaa,Yemen,Temporary,"A Bridge Engineer specializes in designing and maintaining bridges, ensuring their structural integrity, safety, and compliance with engineering standards and regulations.",$55K-$116K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
UX/UI Designer,User Interface Designer,B.Tech,0 to 15 Years,Port of Spain,Trinidad and Tobago,Contract,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",$61K-$121K,"{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}"
Research Analyst,Market Research Analyst,MCA,1 to 8 Years,Philipsburg,Sint Maarten (Dutch part),Temporary,"A Market Research Analyst gathers and analyzes data to provide insights into market trends, consumer behavior, and competitive landscapes. They help businesses make informed decisions.",$63K-$96K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Customer Service Manager,Customer Experience Strategist,BBA,4 to 14 Years,Baku,Azerbaijan,Contract,"Customer Experience Strategists develop and execute strategies to enhance the overall customer experience. They analyze customer feedback, identify pain points, and work across departments to improve products, services, and customer interactions.",$55K-$114K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Procurement Specialist,Procurement Manager,PhD,3 to 9 Years,Berlin,Germany,Intern,"Procurement Managers oversee procurement processes, managing vendor relationships, negotiating contracts, and ensuring cost-effective purchasing of goods and services.",$56K-$121K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Web Designer,E-commerce Web Designer,M.Tech,5 to 12 Years,Skopje,"Macedonia, FYR",Contract,"E-commerce Web Designers specialize in designing and optimizing online stores and shopping websites. They focus on user experience, product presentation, and conversion rate optimization to drive online sales and customer engagement.",$58K-$81K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
Software Tester,Quality Assurance Analyst,MBA,5 to 14 Years,Palikir,"Micronesia, Fed. Sts.",Intern,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.",$63K-$109K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Java Developer,Java Web Application Developer,PhD,5 to 15 Years,The City of Hamilton,Bermuda,Contract,"Java Web Application Developers create web applications using Java technologies. They develop user interfaces, integrate backend systems, and ensure the functionality and security of web applications to provide a seamless user experience.",$61K-$128K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Event Manager,Conference Manager,BBA,3 to 9 Years,Havana,Cuba,Intern,"A Conference Manager coordinates and manages conferences, meetings, and events. They plan logistics, handle budgeting, liaise with vendors, and ensure the smooth execution of events, catering to the needs and expectations of attendees.",$64K-$88K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Network Technician,Network Security Specialist,MCA,2 to 10 Years,Vaduz,Liechtenstein,Intern,"Network Security Specialists focus on network security. They implement security measures, monitor for threats, and respond to security incidents to protect network integrity.",$63K-$86K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
Interior Designer,Residential Interior Designer,M.Com,4 to 13 Years,Macao,"Macao SAR, China",Temporary,"A Residential Interior Designer plans and designs interior spaces in homes. They select furnishings, colors, and layouts to create functional and aesthetically pleasing environments.",$63K-$105K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
Software Architect,Cloud Architect,M.Com,2 to 15 Years,Bishkek,Kyrgyz Republic,Full-Time,"A Cloud Architect designs and manages cloud-based solutions, optimizing scalability, security, and performance while aligning them with the companys technology strategy.",$60K-$99K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Civil Engineer,Water Resources Engineer,B.Com,2 to 12 Years,Kingston,Jamaica,Contract,"A Water Resources Engineer manages and develops water-related projects, such as dams, irrigation systems, and flood control measures, to ensure water resource sustainability.",$56K-$112K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Mechanical Designer,HVAC Systems Designer,BA,4 to 9 Years,Pretoria,South Africa,Part-Time,"Design and optimize heating, ventilation, and air conditioning (HVAC) systems for buildings, focusing on energy efficiency and comfort.",$64K-$107K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Java Developer,Java Web Application Developer,PhD,0 to 13 Years,Kinshasa,Democratic Republic Of Congo,Contract,"Java Web Application Developers create web applications using Java technologies. They develop user interfaces, integrate backend systems, and ensure the functionality and security of web applications to provide a seamless user experience.",$62K-$121K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Dental Hygienist,Periodontal Therapist,B.Tech,5 to 8 Years,Funafuti,Tuvalu,Part-Time,A Periodontal Therapist specializes in treating gum diseases and conditions. They perform procedures such as scaling and root planing to improve oral health and prevent tooth loss.,$56K-$94K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Social Media Manager,Community Manager,B.Com,4 to 10 Years,Bangui,Central African Republic,Temporary,"Community Managers build and engage online communities around a brand or product. They interact with community members, moderate discussions, and foster a sense of belonging and loyalty among community members.",$63K-$111K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Legal Assistant,Paralegal,MCA,5 to 11 Years,Monaco,Monaco,Contract,"Assist lawyers with legal research, document preparation, and case management in law firms or legal departments.",$60K-$98K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Software Tester,Quality Assurance Analyst,M.Tech,2 to 14 Years,Port Vila,Vanuatu,Intern,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.",$60K-$83K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Tax Consultant,International Tax Consultant,M.Com,2 to 15 Years,Port Moresby,Papua New Guinea,Intern,"An International Tax Consultant focuses on tax matters related to international business operations, ensuring compliance with global tax laws and optimizing tax structures.",$64K-$81K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Technical Writer,Documentation Specialist,B.Com,3 to 11 Years,Maputo,Mozambique,Temporary,"Documentation Specialists create and manage documents, manuals, or technical materials. They ensure accuracy, consistency, and accessibility of documentation.",$56K-$123K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
Systems Analyst,Business Systems Analyst,PhD,3 to 9 Years,Philipsburg,Sint Maarten (Dutch part),Temporary,"A Business Systems Analyst analyzes business processes and requirements, recommends technology solutions, and bridges the gap between business objectives and IT systems.",$60K-$83K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Brand Manager,Brand Strategist,BCA,0 to 13 Years,Monrovia,Liberia,Full-Time,A Brand Strategist develops strategies to build and strengthen a companys brand identity. They research market trends and consumer preferences to guide branding decisions.,$63K-$88K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Nurse Manager,Nursing Director,MCA,0 to 11 Years,Thimphu,Bhutan,Temporary,"Nursing Directors oversee nursing departments in healthcare facilities. They manage nursing staff, develop policies and procedures, and ensure the delivery of high-quality patient care while adhering to regulatory standards.",$63K-$91K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Administrative Assistant,Executive Assistant,BCA,4 to 13 Years,Apia,Samoa,Full-Time,"Support high-level executives by managing schedules, coordinating meetings, and handling various administrative tasks.",$57K-$106K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Finance Manager,Treasury Manager,MCA,3 to 11 Years,Kingstown,St. Vincent and the Grenadines,Contract,"Treasury Managers manage a companys treasury operations. They oversee cash management, investments, and financial risk management to maintain liquidity and financial stability.",$58K-$106K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
Human Resources Manager,Talent Acquisition Manager,MBA,4 to 14 Years,Jerusalem,Israel,Temporary,"Talent Acquisition Managers oversee the recruitment and hiring process. They develop recruitment strategies, source candidates, conduct interviews, and collaborate with hiring managers to attract and hire qualified talent to meet the organizations staffing needs.",$64K-$82K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Finance Manager,Financial Planning Manager,B.Tech,5 to 8 Years,Douglas,Isle of Man,Contract,"Financial Planning Managers oversee financial planning services. They lead a team of financial planners, develop financial strategies, and ensure clients financial goals are met.",$61K-$87K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Software Engineer,DevOps Engineer,M.Com,3 to 12 Years,Amsterdam,Netherlands,Full-Time,"DevOps Engineers focus on automating and streamlining the development and deployment processes. They work to improve collaboration between development and IT operations, implementing tools and practices for continuous integration and continuous delivery (CI/CD).",$61K-$86K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Market Research Analyst,Market Research Coordinator,B.Tech,3 to 11 Years,Ottawa,Canada,Contract,"A Market Research Coordinator supports market research initiatives by organizing and managing research projects, data collection, and analysis efforts.",$63K-$122K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
Landscape Architect,Residential Landscape Designer,M.Com,5 to 15 Years,Mbabane,Eswatini,Intern,Create aesthetically pleasing and functional landscape designs for residential properties.,$57K-$104K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Procurement Manager,Strategic Sourcing Manager,BBA,5 to 14 Years,City of Port Louis,Mauritius,Part-Time,"Develop and execute sourcing strategies to procure goods and services, negotiate contracts, and manage supplier relationships.",$64K-$99K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
UX/UI Designer,Interaction Designer,BCA,1 to 9 Years,Abuja,Nigeria,Temporary,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,$64K-$121K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Investment Analyst,Risk Analyst,M.Com,5 to 13 Years,Ljubljana,Slovenia,Intern,A Risk Analyst assesses and manages financial risks within an organization. They use data analysis and modeling to evaluate potential risks and recommend mitigation strategies.,$63K-$92K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
SEM Specialist,Paid Advertising Specialist,M.Tech,3 to 9 Years,N'Djamena,Chad,Intern,Paid Advertising Specialists manage paid advertising campaigns. They use platforms like Google Ads and social media advertising to reach target audiences and achieve marketing goals.,$58K-$98K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
